Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"40588-1","Promotional","Gift with Purchase",2023,"Flowerpot",,292,,,,,5702017422145,,14,26,7,0.323,"",0,0,0,,0,0,,,,,,,,,31.0100,23.1700,"01/04/2023","31/12/2023"
"40589-1","Promotional","Gift with Purchase",2023,"Pirate Ship Playground",2,168,,,,,5702017423883,,26,14,6,0.325,"",0,0,0,,0,0,,,,,,,,,13.0600,22.1600,"01/04/2023","31/12/2023"
"40590-1","Promotional","Houses of the World",2023,"Houses of the World 2",,270,,,,,,,26.2,14.1,4.8,,"",0,0,0,,0,0,,,,,,,,,31.5400,30.0000,"01/04/2023","31/12/2023"
"40591-1","Star Wars","Promotional",2023,"Death Star II",,289,,,,,,,14.1,26.2,6.1,,"",0,0,0,,0,0,,,,,,,,,43.7500,33.3100,"01/05/2023","31/12/2023"
"40593-1","Promotional","Gift with Purchase",2023,"Fun Creativity 12-in-1",,279,,,,,5702017470436,,19,14,6,0.297,"",0,0,0,,0,0,,,,,,,,,7.9200,6.3400,"21/07/2023","31/12/2023"
"40594-1","Promotional","Houses of the World",2023,"Houses of the World 3",,278,,,,,,,26.2,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,28.3800,,"01/07/2023","31/12/2023"
"40595-1","Ideas","Promotional",2023,"Tribute to Galileo Galilei",1,307,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,27.5600,17.9900,"01/11/2023","31/12/2023"
"40596-1","Promotional","Gift with Purchase",2023,"Magic Maze",,332,,,,,5702017470467,,26.2,19,7.2,0.498,"",0,0,0,,0,0,,,,,,,,,22.1900,17.0400,"01/10/2023","31/12/2023"
"40597-1","Creator","Seasonal",2023,"Scary Pirate Island",1,214,,,,,5702017471372,,26,14,6,0.314,"",0,0,0,,0,0,,,,,,,,,16.7800,,"13/10/2023","31/12/2023"
"40598-1","Harry Potter","Promotional",2023,"Gringotts Vault",1,212,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,44.2200,40.0000,"",""
"40599-1","Promotional","Houses of the World",2023,"Houses of the World 4",,318,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,34.7400,32.4800,"01/10/2023","31/12/2023"
"40600-1","Disney","Disney 100",2023,"Disney 100 Years Celebration",1,226,,,,,5702017471402,,26,14,7,0.342,"",0,0,0,,0,0,,,,,,,,,31.0700,,"",""
"40601-1","Icons","Castle System",2023,"Majisto's Magical Workshop",2,365,,,,,5702017471419,,26,18.7,7.3,0.497,"",0,0,0,,0,0,,,,,,,,,34.3400,32.0300,"18/11/2023","31/12/2023"
"40602-1","Creator","Seasonal",2023,"Winter Market Stall",2,271,,,,,5702017471426,,26,14,6,0.308,"",0,0,0,,0,0,,,,,,,,,14.8900,12.5600,"18/11/2023","31/12/2023"
"40603-1","Seasonal","Christmas",2023,"Wintertime Carriage Ride",3,153,,,,,5702017471433,,26.1,13.8,4.7,0.241,"",0,0,0,,0,0,,,,,,,,,29.5700,20.0000,"01/12/2023","31/12/2023"
"40604-1","Seasonal","Christmas",2023,"Christmas Decor Set",,182,,,,,5702017471181,,15.7,14,6,0.216,"",0,0,0,,0,0,,,,,,,,,13.4500,10.8900,"01/12/2023","31/12/2023"
"40605-1","Miscellaneous","VIP Add On Pack",2023,"Lunar New Year VIP Add-On Pack",,124,,,,,5702017422152,,20,19.5,2.9,0.086,"",0,0,0,,0,0,,,,,,,,,7.1800,6.3300,"01/01/2023","31/12/2023"
"40606-1","Miscellaneous","VIP Add On Pack",2023,"Spring Fun VIP Add-On Pack",,128,,,,,5702017422169,,20,19.5,2.9,0.071,"",0,0,0,,0,0,,,,,,,,,6.4500,4.6400,"01/03/2023","31/12/2023"
"40607-1","Miscellaneous","VIP Add On Pack",2023,"Summer Fun VIP Add-On Pack",,120,,,,,5702017423913,,20,19.5,2.9,0.073,"",0,0,0,,0,0,,,,,,,,,7.8600,6.7200,"08/05/2023","31/12/2023"
"40608-1","Miscellaneous","VIP Add On Pack",2023,"Halloween Fun VIP Add-On Pack",1,118,,,,,5702017471198,,20,19.5,2.9,0.093,"",0,0,0,,0,0,,,,,,,,,8.1400,8.5000,"01/09/2023","31/12/2023"
"40609-1","Miscellaneous","VIP Add On Pack",2023,"Christmas Fun VIP Add-On Pack",,146,,,,,5702017471204,,,,,0.076,"",0,0,0,,0,0,,,,,,,,,8.5400,,"01/11/2023","31/12/2023"
"40610-1","Miscellaneous","VIP Add On Pack",2023,"Winter Fun VIP Add-On Pack",,142,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,12.9200,12.1600,"11/12/2023","31/12/2023"
"40613-1","Disney","Aladdin",2023,"Mini Disney Palace of Agrabah",,506,39.99,39.99,49.99,39.99,5702017471235,673419382274,,,,,"",0,0,0,,0,0,,,,,,,,,40.3600,23.5400,"01/10/2023","31/12/2024"
"40615-1","BrickHeadz","Star Wars",2023,"Tusken Raider",,152,9.99,9.99,12.99,9.99,5702017424002,673419378062,9.1,12.2,7.8,,"",0,0,0,,0,0,,,,,,,,,11.9700,6.5000,"01/01/2023","31/12/2024"
"40616-1","BrickHeadz","Wizarding World",2023,"Harry Potter & Cho Chang",,267,17.99,19.99,24.99,19.99,5702017471259,673419382298,19.1,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,19.8200,13.8500,"01/06/2023","31/12/2024"
"40617-1","BrickHeadz","Wizarding World",2023,"Draco Malfoy & Cedric Diggory",,262,17.99,19.99,24.99,19.99,5702017471266,673419382304,19.1,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,20.7600,,"01/06/2023","31/12/2024"
"40618-1","BrickHeadz","Wizarding World",2023,"Kingsley Shacklebolt & Nymphadora Tonks",,250,17.99,19.99,24.99,19.99,5702017471471,673419382311,19.1,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,21.3000,,"01/06/2023","31/12/2024"
"40619-1","BrickHeadz","Disney",2023,"EVE & WALL-E",,155,13.49,14.99,19.99,14.99,5702017424019,673419378079,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,17.5400,9.2000,"01/03/2023","31/12/2025"
"40620-1","BrickHeadz","Disney",2023,"Cruella & Maleficent",,320,17.99,19.99,24.99,19.99,5702017424026,673419378086,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,24.1100,,"01/03/2023","31/12/2024"
"40621-1","BrickHeadz","Disney",2023,"Moana & Merida",,410,17.99,19.99,24.99,19.99,5702017424033,673419378093,19.1,14.1,9.1,,"",0,0,0,,0,0,,,,,,,,,23.1500,,"01/03/2023","31/12/2024"
"40622-1","BrickHeadz","Disney",2023,"Disney 100th Celebration",,501,39.99,39.99,49.99,39.99,5702017424040,673419378109,26.2,19.1,7.2,,"",0,0,0,,0,0,,,,,,,,,37.0800,,"01/02/2023","31/12/2023"
"40623-1","BrickHeadz","Star Wars",2023,"Battle of Endor Heroes",,549,39.99,39.99,49.99,39.99,5702017424057,673419378116,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,44.0300,,"07/04/2023","31/12/2023"
"40624-1","BrickHeadz","Minecraft",2023,"Alex",,86,9.99,9.99,12.99,9.99,5702017424064,673419378123,9.1,12.2,7.8,,"",0,0,0,,0,0,,,,,,,,,13.2300,,"01/04/2023","31/12/2023"
"40625-1","BrickHeadz","Minecraft",2023,"Llama",,100,9.99,9.99,12.99,9.99,5702017414492,673419373869,9.1,12.2,7.8,,"",0,0,0,,0,0,,,,,,,,,14.5000,9.9900,"01/04/2023","31/12/2023"
"40626-1","BrickHeadz","Minecraft",2023,"Zombie",,81,9.99,9.99,12.99,9.99,5702017423791,673419377799,9.1,12.2,7.8,,"",0,0,0,,0,0,,,,,,,,,12.8900,9.9900,"01/04/2023","31/12/2023"
"40627-1","BrickHeadz","Sonic the Hedgehog",2023,"Sonic the Hedgehog",,139,9.99,9.99,12.99,9.99,5702017471488,673419382328,9.1,12.2,7.8,,"",0,0,0,,0,0,,,,,,,,,13.9600,,"01/09/2023","31/12/2024"
"40628-1","BrickHeadz","Sonic the Hedgehog",2023,"Miles 'Tails' Prower",,131,9.99,9.99,12.99,9.99,5702017471495,673419382335,9.1,12.2,7.8,,"",0,0,0,,0,0,,,,,,,,,14.3100,,"01/09/2023","31/12/2024"
"40630-1","BrickHeadz","The Lord of the Rings",2023,"Frodo & Gollum",,184,13.49,14.99,19.99,14.99,5702017423807,673419377805,19.1,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,13.9300,9.6000,"01/01/2023","31/12/2024"
"40631-1","BrickHeadz","The Lord of the Rings",2023,"Gandalf the Grey & Balrog",,348,17.99,19.99,24.99,19.99,5702017423814,673419377812,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,23.9500,17.3300,"01/01/2023","31/12/2024"
"40632-1","BrickHeadz","The Lord of the Rings",2023,"Aragorn & Arwen",,261,17.99,19.99,24.99,19.99,5702017423821,673419377829,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,22.3400,16.0000,"01/01/2023","31/12/2024"
"40634-1","Miscellaneous","",2023,"Icons of Play",15,899,89.99,99.99,129.99,99.99,5702017471518,673419382359,48,28.2,9.1,,"",0,0,0,,0,0,,,,,,,,,89.9900,,"06/06/2023","31/12/2024"
"40638-1","Seasonal","Valentine's Day",2023,"Heart Ornament",,254,10.99,12.99,16.99,12.99,5702017422725,673419377652,19.1,14.1,6.1,0.183,"",0,0,0,,0,0,,,,,,,,,14.8800,,"01/01/2023","31/12/2025"
"40639-1","Seasonal","Easter",2023,"Bird's Nest",,232,10.99,12.99,16.99,12.99,5702017422732,673419377676,15.6,14,6,0.186,"",0,0,0,,0,0,,,,,,,,,12.4000,11.3500,"01/02/2023","31/12/2024"
"40640-1","Seasonal","Christmas",2023,"LEGO Nutcracker",,208,10.99,12.99,16.99,12.99,5702017470351,673419381963,19.1,14.1,4.6,0.19,"",0,0,0,,0,0,,,,,,,,,15.3500,,"01/09/2023","31/12/2024"
"40641-1","Seasonal","Birthday",2023,"Birthday Cake",2,211,13.49,14.99,18.99,14.99,5702017470368,673419381970,19.1,14.1,6.1,0.236,"",0,0,0,,0,0,,,,,,,,,18.1300,,"01/06/2023","31/12/2024"
"40642-1","Seasonal","Christmas",2023,"Gingerbread Ornaments",,190,10.99,12.99,16.99,12.99,5702017471525,673419382366,14.1,12.2,9.1,0.195,"",0,0,0,,0,0,,,,,,,,,16.0400,,"01/09/2023","31/12/2024"
"40643-1","Seasonal","Chinese Traditional Festival",2023,"Jade Rabbit",,288,17.99,19.99,24.99,19.99,5702017471532,673419382373,26.2,19.1,4.6,0.333,"",0,0,0,,0,0,,,,,,,,,31.7500,,"01/06/2023","31/12/2024"
"40644-1","Seasonal","Birthday",2023,"Piñata",,206,8.99,9.99,12.99,9.99,5702017421667,673419377225,14.1,12.2,4.6,0.171,"",0,0,0,,0,0,,,,,,,,,13.5000,10.0000,"01/01/2023","31/12/2026"
"40646-1","Icons","Botanical Collection",2023,"Daffodils",,216,10.99,14.99,19.99,14.99,5702017423975,673419377232,14.1,19.1,4.6,0.159,"",0,0,0,,0,0,,,,,,,,,14.4200,11.3500,"01/01/2023","31/12/2023"
"40647-1","Creator","Botanical Collection",2023,"Lotus Flowers",,220,12.99,14.99,19.99,14.99,5702017471549,673419382380,13.8,19,4.6,0.169,"",0,0,0,,0,0,,,,,,,,,14.0000,,"01/06/2023","31/12/2026"
"40648-1","Seasonal","Chinese Traditional Festival",2023,"Money Tree",,336,21.99,24.99,34.99,24.99,5702017421643,673419377201,19,26,6,0.395,"",0,0,0,,0,0,,,,,,,,,24.2100,21.5400,"25/12/2022","31/12/2024"
"40649-1","Creator","Miscellaneous",2023,"Up-Scaled LEGO Minifigure",1,654,44.99,49.99,64.99,49.99,5702017421650,673419377218,26.2,38.2,7.1,,"",0,0,0,,0,0,,,,,,,,,51.9900,34.9900,"01/06/2023","31/12/2026"
"40650-1","Creator","Miscellaneous",2023,"Land Rover Classic Defender",1,150,13.49,14.99,18.99,14.99,5702017423982,673419377249,19.1,14.1,4.6,0.191,"",0,0,0,,0,0,,,,,,,,,18.2200,14.1100,"01/06/2023","31/12/2025"
"40651-1","Creator","Postcard",2023,"Australia Postcard",,191,13.49,14.99,18.99,14.99,5702017423999,673419378055,19.1,14.1,6.1,0.212,"",0,0,0,,0,0,,,,,,,,,16.1600,,"01/01/2023","31/12/2024"
"40655-1","Miscellaneous","Braille Bricks",2023,"Play with Braille – French Alphabet",,287,79.99,89.99,119.99,89.99,5702017434872,673419379588,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"40656-1","Miscellaneous","Braille Bricks",2023,"Play with Braille – English Alphabet",,287,79.99,89.99,119.99,89.99,5702017434223,673419379861,,,,,"",0,0,0,,0,0,,,,,,,,,96.1400,,"",""
"40657-1","Dreamzzz","Trials of the Dream Chasers",2023,"Dream Village",4,434,25.99,29.99,39.99,29.99,5702017471273,673419381987,26.2,19.1,7.2,,"",0,0,0,,0,0,,,,,,,,,31.9800,,"01/08/2023","31/12/2024"
"40658-1","Star Wars","Seasonal",2023,"Millennium Falcon Holiday Diorama",4,282,25.99,29.99,39.99,29.99,5702017471556,673419382397,,,,,"",0,0,0,,0,0,,,,,,,,,32.5200,19.9900,"01/10/2023","31/12/2023"
"40659-1","Disney","Disney 100",2023,"Mini Steamboat Willie",1,424,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,34.5100,28.9000,"15/10/2023","31/12/2023"
"41723-1","Friends","Beach",2023,"Donut Shop",2,63,8.99,9.99,13.99,9.99,5702017398853,673419371858,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,7.6800,,"01/01/2023","31/12/2023"
"41724-1","Friends","Houses",2023,"Paisley's House",3,185,39.99,39.99,49.99,44.99,5702017412832,673419373753,28.2,26.2,5.9,,"",0,0,0,,0,0,,,,,,,,,25.4900,,"01/01/2023","31/12/2024"
"41725-1","Friends","Beach",2023,"Beach Buggy Fun",2,61,8.99,10.99,13.99,9.99,5702017412849,673419373760,14.1,12.2,6.1,,"",0,0,0,,0,0,,,,,,,,,,,"01/06/2023","31/12/2024"
"41726-1","Friends","Great Outdoors",2023,"Holiday Camping Trip",2,87,19.99,19.99,24.99,24.99,5702017415024,673419374156,20.5,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,19.9900,9.0000,"01/01/2023","31/12/2023"
"41727-1","Friends","Dog Rescue",2023,"Dog Rescue Centre",3,617,54.99,59.99,74.99,59.99,5702017415031,673419373043,48,28.2,7.4,,"",0,0,0,,0,0,,,,,,,,,45.8000,,"01/01/2023","31/12/2024"
"41728-1","Friends","Heartlake City",2023,"Heartlake Downtown Diner",3,346,24.99,29.99,39.99,29.99,5702017415048,673419374255,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,29.7700,18.0000,"01/01/2023","31/12/2024"
"41729-1","Friends","Heartlake City",2023,"Organic Grocery Store",5,830,79.99,89.99,119.99,89.99,5702017415055,673419374262,54,28.2,7.9,,"",0,0,0,,0,0,,,,,,,,,56.3000,25.0000,"01/01/2023","31/12/2023"
"41730-1","Friends","Houses",2023,"Autumn's House",4,853,59.99,69.99,89.99,69.99,5702017415062,673419374279,54,28.2,7.9,,"",0,0,0,,0,0,,,,,,,,,57.9800,,"01/01/2023","31/12/2024"
"41731-1","Friends","Heartlake City",2023,"Heartlake International School",6,985,89.99,99.99,139.99,99.99,5702017415178,673419374286,48,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,84.6900,,"01/01/2023","31/12/2024"
"41732-1","Friends","Heartlake City",2023,"Downtown Flower and Design Stores",9,2010,139.99,159.99,219.99,159.99,5702017415185,673419374293,58.2,37.8,10.3,,"",0,0,0,,0,0,,,,,,,,,105.8200,,"01/01/2023","31/12/2023"
"41733-1","Friends","General",2023,"Mobile Bubble Tea Shop",2,109,8.99,9.99,13.99,9.99,5702017400150,673419371773,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,8.2800,,"01/01/2023","31/12/2023"
"41734-1","Friends","Sea Rescue",2023,"Sea Rescue Boat",4,717,74.99,79.99,99.99,84.99,5702017415192,673419374309,54,28.2,7.9,,"",0,0,0,,0,0,,,,,,,,,58.9900,,"01/06/2023","31/12/2024"
"41735-1","Friends","Great Outdoors",2023,"Mobile Tiny House",3,785,59.99,64.99,84.99,64.99,5702017415208,673419374316,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,44.0000,36.0000,"01/01/2023","31/12/2024"
"41736-1","Friends","Sea Rescue",2023,"Sea Rescue Centre",3,376,44.99,49.99,64.99,49.99,5702017415215,673419377577,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,49.9900,,"01/06/2023","31/12/2024"
"41737-1","Friends","Beach",2023,"Beach Amusement Park",4,1348,89.99,119.99,149.99,99.99,5702017415222,673419374323,48,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,86.7600,,"01/06/2023","31/12/2024"
"41738-1","Friends","Dog Rescue",2023,"Dog Rescue Bike",2,125,8.99,9.99,13.99,9.99,5702017415239,673419374330,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,7.2900,,"01/01/2023","31/12/2024"
"41739-1","Friends","Bedrooms",2023,"Liann's Room",2,204,17.99,19.99,24.99,19.99,5702017415246,673419374347,20.5,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,11.0400,,"01/01/2023","31/12/2024"
"41740-1","Friends","Bedrooms",2023,"Aliya's Room",2,209,17.99,19.99,24.99,19.99,5702017415253,673419374354,20.5,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,11.0200,12.0000,"01/01/2023","31/12/2024"
"41741-1","Friends","Dog Rescue",2023,"Dog Rescue Van",2,300,24.99,29.99,39.99,29.99,5702017415260,673419374361,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,48.0000,,"01/01/2023","31/12/2023"
"41742-1","Friends","Heartlake City",2023,"Cat Hotel",2,445,24.99,29.99,39.99,29.99,5702017432656,673419377638,26.2,22.2,7.6,,"",0,0,0,,0,0,,,,,,,,,26.8900,20.0000,"01/01/2023","31/12/2023"
"41743-1","Friends","Heartlake City",2023,"Hair Salon",3,401,39.99,39.99,49.99,44.99,5702017432175,673419378789,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,26.8500,15.0000,"01/01/2023","31/12/2023"
"41744-1","Friends","Sports",2023,"Sports Centre",4,832,84.99,94.99,119.99,94.99,5702017415277,673419374378,37.8,35.4,7.1,,"",0,0,0,,0,0,,,,,,,,,,,"01/06/2023","31/07/2024"
"41745-1","Friends","Horseback Riding",2023,"Autumn's Horse Stable",2,545,57.99,59.99,79.99,62.99,5702017415284,673419374385,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,56.4200,,"01/06/2023","31/12/2024"
"41746-1","Friends","Horseback Riding",2023,"Horse Training",2,134,24.99,29.99,39.99,29.99,5702017415291,673419374392,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,,,"01/06/2023","31/12/2024"
"41747-1","Friends","Heartlake City",2023,"Heartlake City Community Kitchen",4,695,62.99,67.99,84.99,69.99,5702017415307,673419374408,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,47.2600,45.0000,"01/06/2023","31/12/2024"
"41748-1","Friends","Heartlake City",2023,"Heartlake City Community Centre",6,1513,129.99,139.99,179.99,149.99,5702017415314,673419374415,37.8,58.2,10.3,,"",0,0,0,,0,0,,,,,,,,,132.1500,120.0000,"01/06/2023","31/12/2025"
"41749-1","Friends","Traffic",2023,"Newsroom Van",3,446,24.99,29.99,39.99,29.99,5702017415321,673419374422,35.4,19.1,7,,"",0,0,0,,0,0,,,,,,,,,19.7900,,"01/06/2023","31/12/2024"
"41751-1","Friends","Sports",2023,"Skate Park",3,431,44.99,49.99,64.99,49.99,5702017415338,673419374439,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,10.0000,,"01/01/2023","31/12/2023"
"41752-1","Friends","Sea Rescue",2023,"Sea Rescue Plane",2,203,17.99,19.99,24.99,19.99,5702017415345,673419374446,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,14.9500,,"01/06/2023","31/12/2024"
"41753-1","Friends","Park",2023,"Pancake Shop",2,157,8.99,10.99,13.99,9.99,5702017415352,673419374453,15.7,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,9.7800,,"01/06/2023","31/12/2024"
"41754-1","Friends","Bedrooms",2023,"Leo's Room",2,203,17.99,19.99,24.99,19.99,5702017415369,673419374460,20.5,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,18.5600,14.0000,"01/01/2023","31/07/2024"
"41755-1","Friends","Bedrooms",2023,"Nova's Room",2,179,17.99,19.99,24.99,19.99,5702017415376,673419374477,20.5,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,10.9400,,"01/01/2023","31/12/2024"
"41756-1","Friends","Holiday",2023,"Holiday Ski Slope and Cafe",3,980,74.99,79.99,99.99,84.99,5702017415383,673419374484,54,28.2,7.9,,"",0,0,0,,0,0,,,,,,,,,59.7400,,"01/09/2023","31/12/2024"
"41757-1","Friends","Heartlake City",2023,"Botanical Garden",3,1072,74.99,79.99,99.99,84.99,5702017415390,673419374491,37.8,35.4,7.1,,"",0,0,0,,0,0,,,,,,,,,62.9100,47.8400,"01/06/2023","31/12/2025"
"41758-1","Friends","Seasonal",2023,"LEGO Friends Advent Calendar 2023",2,231,19.99,34.99,44.99,26.99,5702017415406,673419374507,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,22.6000,,"01/09/2023","31/12/2023"
"41759-1","Friends","Traffic",2023,"Heartlake City Bus",3,480,49.99,49.99,64.99,54.99,5702017432663,673419377645,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,,,"01/06/2023","31/12/2024"
"41760-1","Friends","Holiday",2023,"Igloo Holiday Adventure",3,491,44.99,49.99,64.99,49.99,5702017463513,673419380898,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,31.5000,,"01/09/2023","31/12/2024"
"41801-1","Dots","Bracelets",2023,"My Pets Bracelet",,37,5.99,5.99,7.99,6.99,5702017400167,673419371780,,,,,"",0,0,0,,0,0,,,,,,,,,2.4400,,"",""
"41802-1","Dots","Bracelets",2023,"Unicorns Forever Bracelet",,37,5.99,5.99,7.99,6.99,5702017400273,673419371797,,,,,"",0,0,0,,0,0,,,,,,,,,5.6900,,"",""
"41803-1","Dots","Extra Dots",2023,"Extra DOTS Series 8 - Glitter and Shine",,115,3.49,3.99,4.99,3.99,5702017419909,673419377409,9.5,14.5,,0.016,"",0,0,0,,0,0,,,,,,,,,2.7900,,"",""
"41805-1","Dots","Accessories",2023,"Creative Animal Drawer",,643,19.99,24.99,34.99,24.99,5702017421179,673419377416,26.2,19.1,7.2,,"",0,0,0,,0,0,,,,,,,,,,,"01/01/2023","31/12/2023"
"41806-1","Dots","Miscellaneous",2023,"Ultimate Party Kit",,1154,44.99,49.99,64.99,49.99,5702017432182,673419378796,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,28.8300,,"01/01/2023","31/12/2023"
"41807-1","Dots","Bracelets",2023,"Bracelet Designer Mega Pack",,388,24.99,29.99,39.99,29.99,5702017421186,673419377423,23,22.5,5,,"",0,0,0,,0,0,,,,,,,,,21.6600,,"01/01/2023","31/12/2023"
"41808-1","Dots","Harry Potter",2023,"Hogwarts Accessories Pack",,234,12.99,14.99,19.99,14.99,5702017421193,673419377430,10,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,12.2700,,"01/03/2023","31/12/2023"
"41809-1","Dots","Harry Potter",2023,"Hedwig Pencil Holder",,518,17.99,19.99,24.99,19.99,5702017421209,673419377447,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,15.5400,,"01/03/2023","31/12/2023"
"41811-1","Dots","Harry Potter",2023,"Hogwarts Desktop Kit",,856,39.99,44.99,59.99,44.99,5702017425115,673419378154,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,33.0700,,"01/03/2023","31/12/2023"
"42146-1","Technic","Licensed",2023,"Liebherr Crawler Crane LR 13000",,2883,579.99,699.99,899.99,679.99,5702017156026,673419358583,37.8,52.3,25.7,,"",0,0,0,,0,0,,,,,,,,,517.1300,417.9200,"01/08/2023","31/12/2025"
"42147-1","Technic","",2023,"Dump Truck",,177,8.99,12.99,16.99,9.99,5702017400075,673419371575,15.7,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,8.9700,5.4200,"01/01/2023","31/12/2024"
"42148-1","Technic","",2023,"Snow Groomer",,178,8.99,12.99,16.99,9.99,5702017400082,673419371179,15.7,14.1,4.5,,"",0,0,0,,0,0,,,,,,,,,8.6000,6.5000,"01/01/2023","31/12/2024"
"42149-1","Technic","Licensed",2023,"Monster Jam Dragon",,217,17.99,19.99,24.99,19.99,5702017400099,673419371186,26.2,14.1,9.1,,"",0,0,0,,0,0,,,,,,,,,15.8200,13.0000,"01/01/2023","31/12/2024"
"42150-1","Technic","Licensed",2023,"Monster Jam Monster Mutt Dalmatian",,244,17.99,19.99,24.99,19.99,5702017400105,673419371193,26.2,14.1,9.1,,"",0,0,0,,0,0,,,,,,,,,14.2300,12.0000,"01/01/2023","31/12/2024"
"42151-1","Technic","Licensed",2023,"Bugatti Bolide",,905,44.99,49.99,64.99,49.99,5702017424736,673419378253,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,35.6800,30.0000,"01/01/2023","31/12/2025"
"42152-1","Technic","",2023,"Firefighter Aircraft",,1134,94.99,99.99,129.99,109.99,5702017425320,673419378758,48,28.2,9.1,,"",0,0,0,,0,0,,,,,,,,,121.6600,60.0000,"01/03/2023","31/12/2024"
"42153-1","Technic","Licensed",2023,"NASCAR Next Gen Chevrolet Camaro ZL1",,672,44.99,49.99,64.99,49.99,5702017424743,673419378550,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,31.3300,25.0000,"01/03/2023","31/12/2024"
"42154-1","Technic","Licensed",2023,"2022 Ford GT",,1466,104.99,119.99,149.99,119.99,5702017424965,673419378680,48,28.2,9.1,,"",0,0,0,,0,0,,,,,,,,,90.8200,70.0000,"01/03/2023","31/12/2025"
"42155-1","Technic","Licensed",2023,"The Batman - Batcycle",,641,49.99,49.99,64.99,54.99,5702017424750,673419378567,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,49.5500,27.0000,"01/03/2023","31/12/2024"
"42156-1","Technic","Licensed",2023,"PEUGEOT 9X8 24H Le Mans Hybrid Hypercar",,1775,169.99,199.99,279.99,199.99,5702017424767,673419378574,48,37.8,11.2,,"",0,0,0,,0,0,,,,,,,,,136.1100,103.4700,"01/05/2023","31/12/2025"
"42157-1","Technic","Licensed",2023,"John Deere 948L-II Skidder",,1492,169.99,199.99,259.99,189.99,5702017425177,673419378581,58.2,37.8,11.8,,"",0,0,0,,0,0,,,,,,,,,153.1200,102.0700,"01/06/2023","31/12/2024"
"42158-1","Technic","Licensed",2023,"NASA Mars Rover Perseverance",,1132,84.99,99.99,129.99,94.99,5702017425184,673419378598,38.2,26.2,11.8,,"",0,0,0,,0,0,,,,,,,,,72.5000,60.8000,"01/06/2023","31/07/2026"
"42159-1","Technic","Licensed",2023,"Yamaha MT-10 SP",,1478,199.99,239.99,319.99,229.99,5702017425191,673419378604,58.2,37.8,8.7,2.133,"",0,0,0,,0,0,,,,,,,,,159.4000,,"01/08/2023","31/12/2025"
